# s=45 S=55
# time_s	level
74811.490	36
74847.047	35
74964.517	34
74964.517	33
74964.517	32
74969.946	31
75036.876	30
75036.876	29
75036.876	28
75058.476	27
75116.803	26
75184.594	25
75335.457	24
75440.174	23
75684.507	22
75838.610	21
75838.610	20
75838.610	19
76492.225	18
76628.912	30
76671.013	29
76717.072	28
77087.865	27
77087.865	26
77087.865	25
77204.432	45
77833.288	44
78077.188	43
78222.021	42
78255.769	41
78579.109	40
78579.109	39
78675.089	38
78675.089	37
78683.389	36
78695.128	35
79061.942	34
79129.423	33
79129.423	32
79251.183	31
79251.183	30
79400.137	29
79400.137	28
79400.137	27
79728.288	26
79728.288	25
79796.334	24
79973.660	23
80043.345	22
80053.735	21
80397.253	20
80397.253	19
80645.209	22
80653.660	21
80798.725	20
80872.846	19
80878.071	18
80940.647	17
80940.647	16
80995.147	36
81307.127	35
81420.423	34
81776.149	33
82209.970	32
82291.727	31
82301.509	30
82422.971	29
82422.971	28
82688.254	27
82768.073	26
82857.858	25
82981.733	24
83154.723	23
83202.718	22
83202.718	21
83640.112	30
83664.760	29
83664.760	28
83790.906	27
83790.906	26
83790.906	25
83852.220	24
83852.220	23
83946.279	22
83990.903	21
84499.281	41
84830.591	40
85006.020	39
85006.020	38
85377.971	37
85579.681	36
86002.145	35
86314.239	34
86318.400	33
86318.400	32
86318.400	31
86422.768	30
86533.943	29
86625.267	28
86707.029	27
87009.495	26
87009.495	25
87164.368	24
87164.368	23
87258.272	22
87258.272	21
87258.272	20
87286.188	24
87531.909	44
87563.888	43
87888.146	42
87888.146	41
87888.146	40
88117.110	39
88247.179	38
88352.215	37
88566.484	36
88757.438	35
88757.438	34
88800.220	33
89335.245	32
89353.587	31
89605.938	30
89631.352	29
89736.629	28
89881.561	27
90022.922	26
90022.922	25
90022.922	24
90611.960	23
90645.930	31
90646.073	30
90834.222	50
90900.035	49
90900.035	48
90972.668	47
91043.263	46
91132.794	45
91144.344	44
91212.687	43
91755.547	42
91825.795	41
91825.795	40
91977.451	39
91977.451	38
92005.646	37
92062.468	36
92177.035	35
92334.352	34
92372.266	33
92394.700	32
92643.771	31
92696.566	30
92734.307	29
92753.594	28
92753.594	27
92901.192	26
92901.192	25
93489.106	24
93772.591	23
93772.591	22
93825.414	21
93825.414	20
93983.019	19
94171.144	18
94171.144	17
94211.617	16
94356.724	15
94626.615	14
94740.443	13
94740.443	12
95171.502	11
95276.442	10
95276.442	9
95320.599	8
95337.630	7
95337.630	6
95337.630	5
95538.684	25
95632.796	36
95757.919	35
96074.028	34
96198.854	33
96529.880	32
96597.777	31
97468.151	30
97480.813	29
97519.087	28
98344.245	27
98553.300	26
98563.306	30
98741.530	29
98741.530	28
98909.569	27
99053.380	26
99128.060	46
99173.608	45
99739.922	44
99739.922	43
99739.922	42
99739.922	41
99739.922	40
99823.222	39
99848.131	38
99957.410	37
100592.542	36
100609.301	35
100638.060	34
100675.444	33
100790.963	32
100790.963	31
100790.963	30
100809.085	29
101128.566	28
101128.566	27
101288.673	26
101389.825	25
101922.782	24
102072.818	23
102138.129	28
102189.637	27
102284.846	26
102306.348	46
102490.287	45
102567.629	44
102581.931	43
102896.516	42
102896.516	41
103108.304	40
103182.246	39
103182.246	38
103182.246	37
103463.466	36
103463.466	35
103533.990	34
103533.990	33
103701.626	32
103738.424	31
103777.175	30
103777.175	29
103825.073	28
104042.884	27
104731.565	26
104975.418	25
104988.180	24
105153.167	23
105153.167	22
105153.167	21
105170.557	20
105326.050	19
105396.991	18
105566.643	17
105566.643	16
105566.643	15
105566.643	14
105566.643	13
105706.073	12
105706.073	11
105808.506	10
105847.868	9
105847.868	8
105879.770	7
106021.449	6
106027.783	5
106166.539	4
106544.305	24
106735.602	32
106925.578	31
106925.578	30
107023.263	29
107272.123	28
107415.770	27
107415.770	26
107476.407	25
107689.719	24
107814.021	23
107939.858	22
108028.102	21
108028.102	20
108281.373	19
109112.630	18
109271.424	17
109396.057	16
109475.649	15
109503.815	28
109690.571	27
109741.194	47
110080.490	46
110144.756	45
110266.346	44
110266.346	43
110713.245	42
110713.245	41
110896.795	40
111017.810	39
111017.810	38
111246.098	37
111306.615	36
111531.096	35
111531.096	34
111569.686	33
111629.868	32
111846.699	31
111887.066	30
111910.699	29
111929.245	28
112379.501	27
112379.501	26
112552.249	25
113014.588	24
113157.122	23
113178.672	25
113426.484	45
114176.964	44
114319.144	43
114485.115	42
114485.115	41
114513.302	40
114529.530	39
114623.298	38
114667.794	37
114696.503	36
114696.503	35
114737.073	34
115149.724	33
115149.724	32
115394.669	31
115442.443	30
115472.350	29
115472.350	28
115500.629	27
115721.588	26
115721.588	25
115918.640	24
115918.640	23
116059.074	26
116153.560	25
116562.698	24
116625.409	23
116764.222	43
116835.423	42
116858.397	41
116937.312	40
116937.312	39
117103.823	38
117223.616	37
117258.616	36
117468.458	35
117554.932	34
117738.802	33
117738.802	32
117738.802	31
117738.802	30
117738.802	29
117793.983	28
117793.983	27
117813.108	26
117830.553	25
117933.840	24
117974.426	23
118147.809	22
118179.611	21
118179.611	20
118179.611	19
118474.236	18
118673.757	17
118673.757	16
119030.082	15
119066.380	14
119066.380	13
119329.826	12
119532.189	11
119532.189	10
119562.044	9
119759.757	8
119929.345	7
120008.080	6
120034.009	5
120262.556	4
120262.556	3
120262.556	2
120295.895	22
120329.435	21
120329.435	20
120329.435	19
120574.674	18
120716.673	17
120893.566	36
120960.208	35
121081.716	34
121572.976	33
121572.976	32
121861.041	31
121861.041	30
122038.079	29
122252.752	28
122601.693	27
122676.703	26
122782.996	25
122782.996	24
122782.996	23
123180.232	22
123210.759	21
123285.311	28
123303.522	27
123303.522	26
123303.522	25
123399.579	24
123415.761	23
123504.043	22
123580.843	42
123605.239	41
123605.239	40
123621.936	39
123804.635	38
123997.552	37
124334.810	36
124361.337	35
124380.104	34
124890.540	33
124890.540	32
124890.540	31
124990.577	30
125571.059	29
125678.002	28
125678.002	27
125703.158	26
125784.638	25
125784.638	24
125814.689	23
125971.892	22
126254.755	21
126550.145	20
126613.155	19
126755.754	18
126755.754	17
126913.337	37
127003.618	36
127003.618	35
127063.887	34
127063.887	33
127170.409	46
127332.800	45
127539.491	44
127539.491	43
127593.901	42
127593.901	41
127725.465	40
127895.637	39
128027.801	38
128150.856	37
128186.824	36
128218.737	35
128218.737	34
128306.649	33
128306.649	32
128376.022	31
128429.357	30
128828.472	29
129173.931	28
129215.360	27
129680.752	26
129761.545	25
129977.332	24
130015.242	23
130074.732	22
130852.698	21
130890.908	20
130960.342	28
130964.444	27
130964.444	26
131100.790	25
131187.512	24
131219.122	23
131289.707	22
131384.905	21
131384.905	20
131384.905	19
131390.835	39
131528.814	38
131528.814	37
131710.876	36
131789.429	35
131967.850	34
131967.850	33
131967.850	32
131978.643	31
132078.664	30
132078.664	29
132078.664	28
132113.821	27
132193.830	26
132220.064	25
132319.681	24
132545.062	23
132945.392	22
133048.495	21
133075.631	20
133117.544	19
133282.332	18
133368.499	17
133408.234	16
133522.072	15
133522.072	14
133587.203	13
133714.596	12
133734.452	11
133923.755	10
133923.755	9
133996.742	8
134046.085	7
134194.007	23
134202.435	22
134267.066	21
134457.333	20
134530.730	40
