# s1	s2	s3	s4	s5	R_s	f_init	P_OOS	cost_eur	E_T_s	maxLag_s	fracLagOverR	feasible
45	55	55	50	20	3600	1.00	0.1217	1775.10	480.79	4893.2	0.1489	0
45	55	55	50	30	1800	0.85	0.0595	957.62	481.06	4760.4	0.4507	0
45	55	55	50	30	1800	1.00	0.0552	908.20	481.52	4189.9	0.5217	0
45	55	55	50	30	3600	0.85	0.1171	1727.16	480.80	4689.0	0.1250	0
45	55	55	50	30	3600	1.00	0.1180	1709.69	479.36	4575.8	0.1224	0
45	65	45	30	20	1800	0.85	0.0571	908.02	481.25	4300.8	0.4516	0
45	65	45	30	20	1800	1.00	0.0575	915.12	481.28	4206.9	0.4844	0
45	65	45	30	20	3600	0.85	0.1362	1977.67	480.81	4727.7	0.1667	0
45	65	45	30	20	3600	1.00	0.1401	2014.26	479.61	4917.7	0.1395	0
45	65	45	30	30	1800	0.85	0.0574	913.67	481.51	4329.2	0.4697	0
45	65	45	30	30	1800	1.00	0.0575	920.71	481.74	4594.1	0.4853	0
45	65	45	30	30	3600	0.85	0.1309	1874.32	479.74	5107.3	0.1458	0
45	65	45	30	30	3600	1.00	0.1336	1903.19	479.49	4675.5	0.1395	0
45	65	45	40	20	1800	0.85	0.0571	921.86	482.56	4788.3	0.4478	0
45	65	45	40	20	1800	1.00	0.0575	913.93	481.76	4902.8	0.4394	0
45	65	45	40	20	3600	0.85	0.1213	1774.55	481.12	4608.6	0.1522	0
45	65	45	40	20	3600	1.00	0.1246	1810.85	480.47	4684.8	0.1277	0
45	65	45	40	30	1800	0.85	0.0534	878.45	480.92	4302.7	0.4559	0
45	65	45	40	30	1800	1.00	0.0558	901.36	481.16	4112.5	0.4143	0
45	65	45	40	30	3600	0.85	0.1140	1658.30	480.37	4607.2	0.1304	0
45	65	45	40	30	3600	1.00	0.1235	1783.68	480.84	4515.8	0.1905	0
45	65	45	50	20	1800	0.85	0.0574	917.23	481.46	4108.4	0.4429	0
45	65	45	50	20	1800	1.00	0.0544	890.68	480.96	4461.7	0.4776	0
45	65	45	50	20	3600	0.85	0.1196	1763.73	480.17	4487.3	0.1489	0
45	65	45	50	20	3600	1.00	0.1250	1824.18	480.59	4884.9	0.1364	0
45	65	45	50	30	1800	0.85	0.0573	932.32	481.01	4254.1	0.4507	0
45	65	45	50	30	1800	1.00	0.0554	913.57	481.49	4748.7	0.4776	0
45	65	45	50	30	3600	0.85	0.1170	1726.43	480.77	4689.0	0.1250	0
45	65	45	50	30	3600	1.00	0.1176	1713.74	480.39	4850.8	0.1458	0
45	65	55	30	20	1800	0.85	0.0483	825.37	481.49	3849.6	0.4559	0
45	65	55	30	20	1800	1.00	0.0565	897.19	480.96	4046.5	0.4375	0
45	65	55	30	20	3600	0.85	0.1371	1984.51	479.87	4956.4	0.1707	0
45	65	55	30	20	3600	1.00	0.1393	2019.89	479.82	5051.4	0.1591	0
45	65	55	30	30	1800	0.85	0.0514	844.74	481.70	3976.1	0.4000	0
45	65	55	30	30	1800	1.00	0.0569	907.25	481.04	4488.0	0.5000	0
45	65	55	30	30	3600	0.85	0.1293	1859.80	480.30	4731.1	0.1136	0
45	65	55	30	30	3600	1.00	0.1341	1922.57	480.95	4906.0	0.1333	0
45	65	55	40	20	1800	0.85	0.0562	908.40	481.98	4071.2	0.5000	0
45	65	55	40	20	1800	1.00	0.0565	936.63	481.60	4243.2	0.4769	0
45	65	55	40	20	3600	0.85	0.1204	1768.82	480.51	4608.6	0.1522	0
45	65	55	40	20	3600	1.00	0.1260	1839.24	480.68	4721.8	0.1277	0
45	65	55	40	30	1800	0.85	0.0558	938.62	482.21	4509.2	0.5373	0
45	65	55	40	30	1800	1.00	0.0567	934.60	481.23	4756.8	0.4658	0
45	65	55	40	30	3600	0.85	0.1191	1724.36	480.86	4607.2	0.1304	0
45	65	55	40	30	3600	1.00	0.1169	1704.58	480.14	4539.8	0.1522	0
45	65	55	50	20	1800	0.85	0.0522	878.25	480.97	4112.7	0.4429	0
45	65	55	50	20	1800	1.00	0.0552	914.02	480.78	4556.0	0.4286	0
45	65	55	50	20	3600	0.85	0.1196	1763.88	480.16	4487.3	0.1489	0
45	65	55	50	20	3600	1.00	0.1189	1747.10	480.42	4832.7	0.1250	0
45	65	55	50	30	1800	0.85	0.0558	918.51	481.58	4144.3	0.4930	0
45	65	55	50	30	1800	1.00	0.0540	903.34	481.25	4172.0	0.4000	0
45	65	55	50	30	3600	0.85	0.1171	1727.16	480.80	4689.0	0.1250	0
45	65	55	50	30	3600	1.00	0.1170	1709.99	480.46	4690.5	0.1277	0
55	45	45	30	20	1800	0.85	0.0547	856.17	481.92	4007.9	0.4688	0
55	45	45	30	20	1800	1.00	0.0533	836.15	481.96	4177.4	0.5167	0
55	45	45	30	20	3600	0.85	0.1351	1916.42	479.42	4957.6	0.1489	0
55	45	45	30	20	3600	1.00	0.1403	1974.79	479.35	4880.5	0.1860	0
55	45	45	30	30	1800	0.85	0.0557	893.27	482.02	4244.7	0.4478	0
55	45	45	30	30	1800	1.00	0.0539	870.47	481.80	4245.2	0.4921	0
55	45	45	30	30	3600	0.85	0.1289	1828.82	480.23	4745.8	0.1333	0
55	45	45	30	30	3600	1.00	0.1319	1865.79	480.00	4863.0	0.1395	0
55	45	45	40	20	1800	0.85	0.0520	849.37	481.85	3774.3	0.4769	0
55	45	45	40	20	1800	1.00	0.0547	882.12	480.78	3879.5	0.4746	0
55	45	45	40	20	3600	0.85	0.1207	1715.60	480.67	4833.1	0.1304	0
55	45	45	40	20	3600	1.00	0.1285	1814.99	479.91	4771.9	0.1429	0
55	45	45	40	30	1800	0.85	0.0550	899.34	482.15	4137.2	0.4844	0
55	45	45	40	30	1800	1.00	0.0534	872.86	481.26	3728.7	0.5000	0
55	45	45	40	30	3600	0.85	0.1158	1644.23	479.92	4698.2	0.1429	0
55	45	45	40	30	3600	1.00	0.1192	1690.52	479.47	4747.2	0.1458	0
55	45	45	50	20	1800	0.85	0.0552	880.24	481.29	4516.6	0.4444	0
55	45	45	50	20	1800	1.00	0.0549	893.45	481.69	4154.4	0.4697	0
55	45	45	50	20	3600	0.85	0.1203	1724.97	480.67	4701.6	0.1277	0
55	45	45	50	20	3600	1.00	0.1291	1827.81	479.95	4507.2	0.1395	0
55	45	45	50	30	1800	0.85	0.0539	886.13	482.34	4225.2	0.4848	0
55	45	45	50	30	1800	1.00	0.0513	846.08	481.15	4613.4	0.4848	0
55	45	45	50	30	3600	0.85	0.1176	1661.74	480.93	4884.0	0.1200	0
55	45	45	50	30	3600	1.00	0.1194	1696.05	480.50	4530.1	0.1250	0
55	45	55	30	20	1800	0.85	0.0547	881.69	481.66	3925.8	0.4769	0
55	45	55	30	20	1800	1.00	0.0522	857.39	481.44	4055.7	0.5167	0
55	45	55	30	20	3600	0.85	0.1353	1922.49	480.22	4801.1	0.1489	0
55	45	55	30	20	3600	1.00	0.1403	1979.21	479.61	4880.9	0.2093	0
55	45	55	30	30	1800	0.85	0.0485	796.30	481.53	3773.0	0.4706	0
55	45	55	30	30	1800	1.00	0.0505	835.60	481.35	3799.6	0.4923	0
55	45	55	30	30	3600	0.85	0.1272	1798.71	479.98	4629.7	0.1429	0
55	45	55	30	30	3600	1.00	0.1360	1909.10	479.47	4805.1	0.1395	0
55	45	55	40	20	1800	0.85	0.0506	833.82	481.40	3964.6	0.4627	0
55	45	55	40	20	1800	1.00	0.0514	843.75	481.42	3911.9	0.5000	0
55	45	55	40	20	3600	0.85	0.1175	1673.61	480.37	4491.3	0.1064	0
55	45	55	40	20	3600	1.00	0.1272	1811.05	479.38	4922.1	0.1591	0
55	45	55	40	30	1800	0.85	0.0509	834.56	481.27	4230.2	0.4776	0
55	45	55	40	30	1800	1.00	0.0459	775.03	481.24	3471.3	0.4714	0
55	45	55	40	30	3600	0.85	0.1192	1693.20	480.65	5140.8	0.1250	0
55	45	55	40	30	3600	1.00	0.1211	1718.00	479.58	4619.4	0.1224	0
55	45	55	50	20	1800	0.85	0.0536	880.33	481.56	4212.4	0.4478	0
55	45	55	50	20	1800	1.00	0.0505	839.14	481.70	3897.3	0.4923	0
55	45	55	50	20	3600	0.85	0.1213	1735.54	480.83	4809.4	0.1522	0
55	45	55	50	20	3600	1.00	0.1264	1793.34	479.51	4606.7	0.1333	0
55	45	55	50	30	1800	0.85	0.0535	894.78	480.64	5039.1	0.4583	0
55	45	55	50	30	1800	1.00	0.0503	828.26	481.88	3831.1	0.5385	0
