# completamenti	seed_123456789	seed_2010924726	seed_417893401	seed_281668658	seed_1918141768
2220	6,9590	7,2628	6,7283	7,7532	6,7494
2240	6,9824	7,2553	6,7302	7,7263	6,7055
2260	7,0067	7,2612	6,7110	7,7554	6,7151
2280	6,9794	7,2533	6,7431	7,7118	6,7109
2300	7,0010	7,2489	6,7512	7,7028	6,7041
2320	6,9981	7,2105	6,7326	7,7133	6,7916
2340	6,9912	7,2145	6,7565	7,7224	6,8209
2360	6,9872	7,2155	6,7989	7,7090	6,8668
2380	6,9872	7,1930	6,8253	7,7296	6,8940
2400	6,9542	7,1681	6,8896	7,8008	6,8736
2420	6,9509	7,1413	6,9370	7,8028	6,8628
2440	6,9455	7,1107	7,0556	7,8195	6,8761
2460	6,9259	7,0843	7,1294	7,8615	6,9029
2480	6,9070	7,0959	7,1370	7,8612	6,8886
2500	6,9582	7,0956	7,1075	7,8573	6,8901
2520	6,9775	7,0931	7,1150	7,8721	6,8951
2540	6,9662	7,1033	7,1414	7,8694	6,8711
2560	6,9815	7,0868	7,1533	7,8752	6,8698
2580	7,0150	7,0681	7,1548	7,8474	6,8587
2600	7,0346	7,0590	7,1631	7,8203	6,8339
2620	7,0340	7,0692	7,1809	7,8020	6,8171
2640	7,0321	7,0631	7,1948	7,7769	6,8000
2660	7,0257	7,0338	7,2190	7,7848	6,8026
2680	7,0356	7,0278	7,2220	7,7695	6,8016
2700	7,0451	7,0431	7,2273	7,7463	6,8133
2720	7,0519	7,0518	7,2365	7,7333	6,8206
2740	7,0345	7,0485	7,2573	7,7373	6,8200
2760	7,0338	7,0373	7,2724	7,7119	6,8097
2780	7,0009	7,0452	7,2870	7,6984	6,7985
2800	6,9961	7,0343	7,2616	7,6950	6,7871
2820	6,9755	7,0170	7,2614	7,6996	6,8000
2840	6,9562	7,0099	7,2599	7,6740	6,8154
2860	6,9387	7,0163	7,2276	7,6664	6,7937
2880	6,9236	7,0775	7,2014	7,6804	6,7826
2900	6,9299	7,0804	7,1947	7,6724	6,7917
2920	6,9143	7,0674	7,1726	7,6905	6,8055
2940	6,8987	7,0640	7,1782	7,6857	6,8118
2960	6,8951	7,0452	7,1946	7,6861	6,8328
2980	6,8811	7,0351	7,2100	7,6924	6,8312
3000	6,8817	7,0536	7,1999	7,7039	6,8302
3020	6,8862	7,0546	7,2198	7,6862	6,8326
3040	6,8824	7,0260	7,1972	7,6858	6,8370
3060	6,8630	7,0314	7,1899	7,6793	6,8386
3080	6,8750	7,0314	7,1973	7,6700	6,8500
3100	6,8796	7,0410	7,2125	7,7046	6,8497
3120	6,8708	7,0222	7,2316	7,7308	6,8686
3140	6,8576	7,0349	7,2193	7,8199	6,8598
3160	6,8529	7,0482	7,2478	7,8433	6,8481
3180	6,8600	7,0470	7,2751	7,8581	6,8409
3200	6,8584	7,0433	7,2817	7,8807	6,8377
3220	6,8599	7,0532	7,2800	7,9235	6,8310
3240	6,8755	7,0872	7,2857	7,9438	6,8390
3260	6,8904	7,1161	7,2715	7,9748	6,8350
3280	6,8985	7,1254	7,2630	7,9806	6,8075
3300	6,8968	7,1204	7,2363	8,0102	6,8028
3320	6,8905	7,1331	7,2376	8,0550	6,8383
3340	6,8636	7,1408	7,2426	8,0864	6,8280
3360	6,8753	7,1395	7,2504	8,0906	6,8397
3380	6,9006	7,1465	7,2395	8,0975	6,8832
3400	6,9016	7,1330	7,2567	8,1011	6,9023
3420	6,9008	7,1304	7,2593	8,0995	6,9092
3440	6,9173	7,1387	7,2272	8,1178	6,9212
3460	6,9362	7,1174	7,2201	8,1161	6,9384
3480	6,9339	7,1230	7,2371	8,1037	6,9468
3500	6,9318	7,1221	7,2741	8,1214	6,9735
3520	6,9324	7,1264	7,3598	8,1184	6,9788
3540	6,9281	7,1208	7,3988	8,1054	6,9877
3560	6,9275	7,1012	7,4395	8,0764	7,0018
3580	6,9250	7,1163	7,5134	8,0804	7,0138
3600	6,9153	7,1204	7,5394	8,1001	7,0151
3620	6,9013	7,1029	7,5441	8,0957	7,0191
3640	6,8855	7,1061	7,5654	8,1052	7,0236
3660	6,8882	7,1304	7,6018	8,0971	7,0342
3680	6,9042	7,1489	7,6090	8,0660	7,0269
3700	6,9119	7,1459	7,6179	8,0647	7,0314
3720	6,9264	7,1439	7,6026	8,0799	7,0452
3740	6,9875	7,1495	7,6137	8,0921	7,0467
3760	7,0188	7,1546	7,6176	8,0759	7,0352
3780	7,0538	7,1523	7,6162	8,0651	7,0353
3800	7,0614	7,1605	7,5945	8,0865	7,0439
3820	7,1263	7,1580	7,6118	8,0966	7,0597
3840	7,1464	7,1496	7,6127	8,1084	7,0744
3860	7,1461	7,1641	7,5981	8,1523	7,0673
3880	7,1542	7,1931	7,5845	8,1628	7,1130
3900	7,1442	7,1975	7,5984	8,1548	7,1455
3920	7,1623	7,2049	7,5879	8,1576	7,1586
3940	7,1555	7,2095	7,5923	8,1666	7,1613
3960	7,1335	7,2231	7,6006	8,1722	7,1584
3980	7,1453	7,2167	7,6121	8,1713	7,1503
4000	7,1556	7,2280	7,5841	8,1585	7,1442
4020	7,1452	7,2260	7,5864	8,1483	7,1535
4040	7,1391	7,2181	7,5871	8,1370	7,1472
4060	7,1366	7,2160	7,5788	8,1253	7,1419
4080	7,1251	7,2377	7,5766	8,1105	7,1347
4100	7,1413	7,2427	7,5855	8,1089	7,1356
4120	7,1392	7,2356	7,5979	8,0783	7,1444
4140	7,1266	7,2312	7,6128	8,0603	7,1340
4160	7,1194	7,2440	7,6300	8,0540	7,1663
4180	7,1043	7,2376	7,6302	8,0511	7,1716
4200	7,0959	7,2409	7,6213	8,0334	7,1588
4220	7,0768	7,2283	7,6041	8,0390	7,1756
4240	7,0728	7,2195	7,5998	8,0376	7,1740
4260	7,0739	7,2097	7,5819	8,0266	7,1616
4280	7,0891	7,2077	7,5806	8,0177	7,1571
4300	7,0910	7,2070	7,5804	8,0054	7,1454
4320	7,0778	7,1981	7,5645	8,0122	7,1701
4340	7,0818	7,1885	7,5688	8,0085	7,1900
4360	7,0877	7,1862	7,5836	7,9903	7,1950
4380	7,0777	7,2058	7,5895	7,9997	7,2027
4400	7,0725	7,2017	7,5742	8,0069	7,2036
4420	7,0657	7,2144	7,5747	7,9970	7,1953
4440	7,0762	7,2455	7,5632	7,9758	7,1949
4460	7,0849	7,2498	7,5499	7,9745	7,2257
4480	7,0870	7,2357	7,5594	7,9545	7,2335
4500	7,0999	7,2305	7,5621	7,9434	7,2275
4520	7,1132	7,2311	7,5598	7,9434	7,2360
4540	7,1121	7,2136	7,5773	7,9464	7,2246
4560	7,1161	7,2081	7,5949	7,9416	7,2274
4580	7,1212	7,2108	7,6018	7,9504	7,2203
4600	7,1247	7,2162	7,5954	7,9647	7,2161
4620	7,1398	7,2075	7,5816	8,0304	7,2087
4640	7,1571	7,2129	7,6874	8,0455	7,2014
4660	7,1509	7,2141	7,7455	8,0563	7,1862
4680	7,1478	7,2070	7,7846	8,0678	7,1754
4700	7,1487	7,2047	7,8154	8,0686	7,1687
4720	7,1507	7,2046	7,8290	8,0552	7,1585
4740	7,1448	7,2109	7,8567	8,0511	7,1675
4760	7,1265	7,1993	7,8657	8,0469	7,1642
4780	7,1143	7,1829	7,8652	8,0480	7,1533
4800	7,1038	7,1745	7,8528	8,0378	7,1343
4820	7,0912	7,1720	7,8506	8,0222	7,1309
4840	7,1215	7,1795	7,8494	8,0182	7,1392
4860	7,1438	7,1893	7,8414	8,0226	7,1322
4880	7,1702	7,1929	7,8360	8,0026	7,1296
4900	7,1827	7,1959	7,8439	7,9952	7,1271
4920	7,1954	7,1954	7,8425	7,9982	7,1165
4940	7,1965	7,1853	7,8239	7,9819	7,1178
4960	7,2343	7,1738	7,8256	7,9656	7,1223
4980	7,2388	7,1708	7,8308	7,9719	7,1086
5000	7,2441	7,1604	7,8315	7,9669	7,1007
5020	7,2457	7,1466	7,8437	7,9468	7,1060
5040	7,2373	7,1447	7,8481	7,9332	7,1036
5060	7,2308	7,1532	7,8410	7,9305	7,1035
5080	7,2324	7,1485	7,8391	7,9122	7,1075
5100	7,2294	7,1732	7,8531	7,9122	7,1113
5120	7,2146	7,1801	7,8536	7,9120	7,0989
5140	7,2029	7,1845	7,8589	7,8952	7,1025
5160	7,1925	7,1980	7,8668	7,8837	7,1007
5180	7,1844	7,2017	7,8632	7,8865	7,0862
5200	7,1880	7,2164	7,8593	7,8807	7,0889
5220	7,1893	7,2070	7,8461	7,8771	7,0945
5240	7,1825	7,2002	7,8428	7,8758	7,0982
5260	7,1787	7,2093	7,8268	7,8700	7,0883
5280	7,1893	7,1980	7,8228	7,8578	7,0930
5300	7,1781	7,1941	7,8016	7,8388	7,0926
5320	7,1826	7,1958	7,7746	7,8464	7,0940
5340	7,1765	7,2030	7,7698	7,8258	7,0958
5360	7,1794	7,1932	7,7654	7,8297	7,0860
5380	7,1858	7,2042	7,7458	7,8280	7,0847
5400	7,2007	7,2024	7,7455	7,8103	7,0971
5420	7,1999	7,1893	7,7398	7,8084	7,0978
5440	7,2002	7,1825	7,7389	7,8148	7,1030
5460	7,2298	7,1920	7,7337	7,8106	7,1123
5480	7,2316	7,2004	7,7295	7,7866	7,1237
5500	7,2330	7,2053	7,7355	7,7777	7,1192
5520	7,2305	7,2102	7,7400	7,7784	7,1088
5540	7,2318	7,2179	7,7386	7,7667	7,1009
5560	7,2659	7,2099	7,7203	7,7750	7,0984
5580	7,3040	7,1956	7,7133	7,7770	7,0867
5600	7,3361	7,1984	7,7053	7,7974	7,0751
5620	7,3525	7,1883	7,6990	7,7831	7,0771
5640	7,3487	7,1799	7,7075	7,8042	7,0668
5660	7,3470	7,1806	7,7203	7,8137	7,0587
5680	7,3522	7,1843	7,7151	7,8081	7,0516
5700	7,3366	7,1723	7,6956	7,8220	7,0445
5720	7,3475	7,1750	7,7034	7,8286	7,0497
5740	7,3501	7,1738	7,7120	7,8178	7,0676
5760	7,3433	7,1699	7,7075	7,8021	7,0614
5780	7,3310	7,1624	7,6990	7,8275	7,0650
5800	7,3348	7,1655	7,6875	7,8306	7,0663
5820	7,3418	7,1632	7,6877	7,8162	7,0610
5840	7,3360	7,1646	7,6841	7,8155	7,0564
5860	7,3405	7,1672	7,7158	7,8222	7,0699
5880	7,3506	7,1642	7,7331	7,8251	7,0835
5900	7,3537	7,1670	7,7314	7,8033	7,0841
5920	7,3409	7,1388	7,7255	7,8169	7,0910
5940	7,3480	7,1454	7,7302	7,8224	7,0997
5960	7,3675	7,1479	7,7282	7,8047	7,1200
5980	7,3750	7,1517	7,7157	7,8049	7,1156
6000	7,3825	7,1385	7,7168	7,8016	7,1371
6020	7,4108	7,1413	7,7182	7,7873	7,1573
6040	7,4353	7,1485	7,7087	7,7841	7,1715
6060	7,4621	7,1325	7,7108	7,7822	7,1768
6080	7,4924	7,1253	7,7084	7,7663	7,1845
6100	7,5062	7,1298	7,7058	7,7594	7,1827
6120	7,5209	7,1517	7,6914	7,7538	7,1866
6140	7,5278	7,1761	7,6953	7,7498	7,1977
6160	7,5308	7,1747	7,7080	7,7470	7,2081
6180	7,5291	7,1760	7,7207	7,7504	7,2030
6200	7,5182	7,1790	7,7221	7,7480	7,2009
6220	7,5178	7,1739	7,7309	7,7433	7,2003
6240	7,5197	7,1694	7,7326	7,7388	7,1929
6260	7,5211	7,1706	7,7282	7,7384	7,1821
6280	7,5196	7,1650	7,7295	7,7241	7,1881
6300	7,5138	7,1536	7,7420	7,7133	7,1866
6320	7,4979	7,1573	7,7489	7,7082	7,1930
6340	7,4961	7,1742	7,7499	7,7051	7,1939
6360	7,4894	7,1864	7,7491	7,7096	7,2029
6380	7,4789	7,1790	7,7581	7,7096	7,2010
6400	7,4661	7,1751	7,7674	7,6946	7,1979
6420	7,4621	7,1744	7,7664	7,6874	7,1900
6440	7,4632	7,1671	7,7661	7,6851	7,1922
6460	7,4520	7,1674	7,7646	7,6807	7,1880
6480	7,4580	7,1769	7,7700	7,6701	7,1803
6500	7,4599	7,1827	7,7625	7,6825	7,1755
6520	7,4515	7,1748	7,7588	7,6810	7,1700
6540	7,4481	7,1745	7,7537	7,6722	7,1727
6560	7,4520	7,1769	7,7435	7,6661	7,1707
6580	7,4506	7,1946	7,7457	7,6705	7,1623
6600	7,4457	7,1891	7,7377	7,6740	7,1709
6620	7,4566	7,1855	7,7325	7,6809	7,1775
6640	7,4560	7,1943	7,7327	7,6739	7,1790
6660	7,4475	7,1871	7,7258	7,6676	7,1693
6680	7,4560	7,1888	7,7242	7,6649	7,1772
6700	7,4574	7,1871	7,7236	7,6693	7,1887
6720	7,4383	7,1840	7,7228	7,6598	7,1840
6740	7,4528	7,1731	7,7159	7,6616	7,1859
6760	7,4565	7,1720	7,7158	7,6641	7,1895
6780	7,4483	7,1693	7,7436	7,6540	7,1866
6800	7,4446	7,1657	7,7538	7,6413	7,1804
6820	7,4472	7,1801	7,7559	7,6403	7,1742
6840	7,4604	7,1773	7,7525	7,6322	7,1733
6860	7,4507	7,1743	7,7768	7,6338	7,1743
6880	7,4478	7,1731	7,7996	7,6348	7,1846
6900	7,4358	7,1588	7,8515	7,6318	7,1876
6920	7,4284	7,1594	7,8900	7,6306	7,1849
6940	7,4198	7,1620	7,9251	7,6357	7,1921
6960	7,4070	7,1612	7,9522	7,6386	7,1955
6980	7,4132	7,1538	7,9701	7,6249	7,1990
7000	7,4117	7,1571	7,9804	7,6177	7,1944
7020	7,4092	7,1601	7,9836	7,6140	7,1959
7040	7,3995	7,1559	7,9853	7,6308	7,1970
7060	7,3982	7,1447	7,9835	7,6423	7,2206
7080	7,4026	7,1465	7,9892	7,6542	7,2335
7100	7,4016	7,1410	7,9907	7,6636	7,2295
7120	7,4029	7,1350	8,0145	7,6604	7,2346
7140	7,3969	7,1361	8,0147	7,6519	7,2483
7160	7,4082	7,1394	8,0151	7,6575	7,2433
7180	7,4073	7,1494	8,0141	7,6623	7,2429
7200	7,4024	7,1452	8,0130	7,6506	7,2451
7220	7,4003	7,1393	8,0158	7,6611	7,2427
7240	7,3974	7,1373	8,0126	7,6618	7,2398
7260	7,4069	7,1572	8,0135	7,6467	7,2291
7280	7,4179	7,1764	7,9952	7,6564	7,2302
7300	7,4170	7,1842	7,9984	7,6586	7,2335
7320	7,4148	7,1759	7,9992	7,6498	7,2452
7340	7,4162	7,1878	7,9921	7,6519	7,2347
7360	7,4143	7,1896	7,9918	7,6481	7,2328
7380	7,4141	7,1793	7,9899	7,6482	7,2286
7400	7,4077	7,1719	7,9851	7,6415	7,2109
7420	7,4135	7,1710	7,9844	7,6409	7,2032
7440	7,4110	7,1646	7,9846	7,6470	7,1946
7460	7,4088	7,1695	7,9941	7,6470	7,1853
7480	7,4136	7,1628	7,9946	7,6453	7,1891
7500	7,4114	7,1614	7,9877	7,6428	7,2032
7520	7,4040	7,1603	8,0002	7,6492	7,2062
7540	7,4064	7,1519	8,0049	7,6460	7,2011
7560	7,4134	7,1455	8,0027	7,6362	7,2044
7580	7,4070	7,1383	7,9990	7,6412	7,1945
7600	7,4017	7,1330	8,0032	7,6412	7,1893
7620	7,4022	7,1356	8,0027	7,6354	7,1905
7640	7,4098	7,1301	7,9862	7,6328	7,1952
7660	7,4079	7,1229	7,9799	7,6261	7,1904
7680	7,4107	7,1165	7,9735	7,6039	7,1886
7700	7,4175	7,1198	7,9693	7,6009	7,1801
7720	7,4219	7,1335	7,9719	7,6144	7,1832
7740	7,4117	7,1576	7,9722	7,6040	7,1903
7760	7,4096	7,1658	7,9766	7,5975	7,1888
7780	7,4177	7,1688	7,9788	7,5909	7,1838
7800	7,4138	7,1881	7,9791	7,5814	7,1786
7820	7,4226	7,1953	7,9830	7,5863	7,1757
7840	7,4282	7,1855	7,9777	7,5837	7,1762
7860	7,4307	7,1915	7,9766	7,5829	7,1644
7880	7,4279	7,1905	7,9766	7,5780	7,1576
7900	7,4313	7,1823	7,9726	7,5797	7,1557
7920	7,4410	7,1797	7,9693	7,5739	7,1543
7940	7,4413	7,1771	7,9691	7,5610	7,1580
7960	7,4350	7,1748	7,9699	7,5589	7,1589
7980	7,4395	7,1608	7,9710	7,5623	7,1485
8000	7,4546	7,1560	7,9647	7,5619	7,1531
8020	7,4580	7,1468	7,9656	7,5572	7,1553
8040	7,4521	7,1478	7,9737	7,5559	7,1510
8060	7,4647	7,1390	7,9935	7,5500	7,1524
8080	7,4671	7,1324	7,9858	7,5424	7,1638
8100	7,4615	7,1325	7,9890	7,5353	7,1702
8120	7,4645	7,1278	7,9927	7,5313	7,1664
8140	7,4806	7,1342	7,9786	7,5422	7,1614
8160	7,4799	7,1334	7,9756	7,5456	7,1628
8180	7,4759	7,1369	7,9694	7,5459	7,1618
8200	7,4658	7,1516	7,9575	7,5376	7,1571
8220	7,4708	7,1735	7,9428	7,5303	7,1567
8240	7,4645	7,1865	7,9341	7,5237	7,1408
8260	7,4572	7,1880	7,9259	7,5170	7,1378
8280	7,4549	7,1973	7,9223	7,5061	7,1401
8300	7,4548	7,2068	7,9237	7,5111	7,1293
8320	7,4631	7,2063	7,9197	7,5160	7,1232
8340	7,4632	7,2020	7,9233	7,5132	7,1183
8360	7,4617	7,2015	7,9230	7,5164	7,1057
8380	7,4679	7,2064	7,9161	7,5100	7,1037
8400	7,4707	7,2098	7,9101	7,5121	7,1022
8420	7,4695	7,2233	7,9020	7,5162	7,0986
8440	7,4630	7,2309	7,9083	7,5213	7,0976
8460	7,4674	7,2241	7,9174	7,5182	7,1013
8480	7,4683	7,2218	7,9172	7,5267	7,1033
8500	7,4848	7,2147	7,9180	7,5329	7,1074
8520	7,4934	7,2074	7,9183	7,5393	7,1053
8540	7,4885	7,2007	7,9102	7,5571	7,1078
8560	7,4837	7,1923	7,9056	7,5652	7,1094
8580	7,4750	7,1919	7,9003	7,5652	7,0977
8600	7,4755	7,1878	7,9027	7,5596	7,1186
8620	7,4767	7,1837	7,9037	7,5648	7,1235
8640	7,4823	7,1854	7,8945	7,5686	7,1212
8660	7,4776	7,1821	7,8954	7,5641	7,1183
8680	7,4801	7,1768	7,9040	7,5598	7,1242
8700	7,4987	7,1741	7,9024	7,5638	7,1370
8720	7,5069	7,1715	7,8920	7,5592	7,1558
8740	7,5076	7,1647	7,8885	7,5512	7,1572
8760	7,4997	7,1603	7,8912	7,5527	7,1570
8780	7,4996	7,1756	7,8973	7,5503	7,1671
8800	7,4928	7,1803	7,8975	7,5473	7,1668
8820	7,4860	7,1813	7,8954	7,5370	7,1687
8840	7,4862	7,1824	7,8886	7,5318	7,1751
8860	7,4909	7,1758	7,8856	7,5290	7,1743
8880	7,4901	7,1748	7,8800	7,5183	7,1744
8900	7,4837	7,1758	7,8699	7,5126	7,1737
8920	7,4890	7,1787	7,8637	7,5093	7,1661
8940	7,5107	7,1830	7,8600	7,5090	7,1634
8960	7,5296	7,1892	7,8603	7,5100	7,1585
8980	7,5413	7,1909	7,8626	7,5015	7,1591
9000	7,5451	7,1919	7,8580	7,4906	7,1568
9020	7,5477	7,1962	7,8548	7,4835	7,1527
9040	7,5442	7,1956	7,8563	7,4813	7,1548
9060	7,5513	7,1878	7,8576	7,4825	7,1561
9080	7,5543	7,1839	7,8479	7,4804	7,1531
9100	7,5464	7,1887	7,8443	7,4824	7,1545
9120	7,5456	7,1811	7,8430	7,4893	7,1531
9140	7,5436	7,1861	7,8380	7,4895	7,1558
9160	7,5377	7,1849	7,8386	7,4968	7,1647
9180	7,5360	7,1770	7,8366	7,4991	7,1666
9200	7,5349	7,1710	7,8377	7,5006	7,1666
9220	7,5246	7,1681	7,8387	7,5016	7,1747
9240	7,5286	7,1661	7,8353	7,5051	7,1679
9260	7,5289	7,1610	7,8323	7,5029	7,1649
9280	7,5274	7,1617	7,8291	7,4907	7,1714
9300	7,5408	7,1602	7,8254	7,4833	7,1717
9320	7,5459	7,1563	7,8174	7,4783	7,1643
9340	7,5382	7,1475	7,8096	7,4826	7,1626
9360	7,5311	7,1504	7,8106	7,4851	7,1670
9380	7,5214	7,1542	7,8071	7,4844	7,1606
9400	7,5209	7,1472	7,8029	7,4853	7,1630
9420	7,5266	7,1533	7,8031	7,4866	7,1620
9440	7,5305	7,1673	7,7991	7,4760	7,1582
9460	7,5316	7,1633	7,7962	7,4657	7,1553
9480	7,5267	7,1564	7,7995	7,4602	7,1620
9500	7,5257	7,1551	7,7919	7,4608	7,1679
9520	7,5228	7,1594	7,7890	7,4582	7,1739
9540	7,5125	7,1522	7,7818	7,4600	7,1727
9560	7,5054	7,1488	7,7696	7,4564	7,1990
9580	7,5043	7,1497	7,7614	7,4594	7,2235
9600	7,4995	7,1490	7,7547	7,4547	7,2552
9620	7,4952	7,1444	7,7507	7,4644	7,2699
9640	7,4948	7,1434	7,7478	7,4761	7,2907
9660	7,4905	7,1313	7,7382	7,4738	7,3006
9680	7,4959	7,1281	7,7334	7,4792	7,3191
9700	7,4926	7,1225	7,7318	7,4799	7,3345
9720	7,4916	7,1098	7,7166	7,4742	7,3528
9740	7,4974	7,1056	7,7125	7,4775	7,3549
9760	7,5006	7,1042	7,7069	7,4729	7,3665
9780	7,4900	7,1019	7,7052	7,4597	7,3703
9800	7,4895	7,0958	7,6985	7,4570	7,3754
9820	7,4951	7,0982	7,6965	7,4434	7,3713
9840	7,5174	7,0928	7,7005	7,4407	7,3689
9860	7,5239	7,0951	7,6958	7,4383	7,3648
9880	7,5240	7,0978	7,6894	7,4364	7,3677
9900	7,5293	7,0889	7,6828	7,4291	7,3669
9920	7,5315	7,0854	7,6747	7,4313	7,3745
9940	7,5321	7,0840	7,6708	7,4330	7,3746
9960	7,5317	7,0824	7,6681	7,4301	7,3686
