# completamenti	seed_123456789	seed_2010924726	seed_417893401	seed_281668658	seed_1918141768
1240	347,6047	372,2454	336,9249	372,9760	332,7752
1260	346,7980	374,3520	336,4690	371,4923	333,5386
1280	346,7757	373,9510	338,7175	372,4611	335,1403
1300	346,8333	373,6033	341,1859	372,0137	337,5856
1320	346,6380	373,0112	340,8129	371,8368	336,7767
1340	346,3270	373,7497	339,8829	370,0990	340,3489
1360	347,2711	375,3341	340,5286	368,3678	340,3937
1380	349,2323	379,3014	343,2402	368,8945	342,0305
1400	349,1442	378,4609	350,2122	367,5077	341,2689
1420	351,1254	377,1387	355,4218	367,3102	341,9886
1440	353,4197	376,8155	355,1278	366,4523	340,9401
1460	353,5246	375,1937	354,7197	365,9500	340,6968
1480	352,1988	373,1902	352,8352	365,4184	339,7058
1500	353,8606	372,5134	352,3002	368,2826	340,9697
1520	359,7504	371,0295	351,7745	367,9392	340,1748
1540	363,0497	371,0837	353,4584	367,2607	338,7705
1560	362,2361	369,4602	353,4498	366,0049	338,7618
1580	360,9608	369,0749	353,4348	365,0110	339,2655
1600	359,6274	369,1007	352,4412	365,3772	338,8084
1620	358,3675	368,2719	351,4437	364,6359	339,7147
1640	358,4207	371,1515	350,4108	363,4786	339,3248
1660	357,3402	371,1980	349,8629	363,2586	338,8995
1680	357,2822	371,7624	349,4030	364,0938	338,5019
1700	356,1571	373,0600	348,0978	362,8576	337,2870
1720	355,7017	375,2628	348,1562	362,2532	336,4380
1740	355,7633	376,3008	346,3814	361,5027	335,3877
1760	355,9306	375,7159	345,5917	361,8433	336,1522
1780	355,1576	375,0542	344,5048	360,5752	336,5922
1800	353,8592	374,7814	343,4770	360,6608	335,7015
1820	352,1943	374,3873	343,4466	364,5201	335,1181
1840	351,3071	373,4795	342,9532	367,1341	336,9999
1860	350,7809	372,9869	342,3405	367,4613	336,7084
1880	351,8130	373,1946	341,5237	367,6719	336,0145
1900	351,1597	372,7616	341,0074	367,0465	335,6232
1920	350,9884	371,6121	340,1420	365,7545	335,1820
1940	350,3615	371,2634	339,6768	365,3217	335,4716
1960	350,4942	373,0365	340,0841	365,0216	335,0509
1980	349,6315	373,1398	339,4146	366,4541	334,3748
2000	348,6701	372,9512	339,1860	368,7357	333,6109
2020	348,3933	372,6129	338,6554	368,4917	332,7317
2040	350,2651	371,5854	340,0227	367,6708	332,6343
2060	352,5877	371,6446	342,8941	367,4731	332,2287
2080	352,2704	372,0469	346,5517	368,2348	332,8193
2100	351,5824	370,8703	348,1652	367,7403	332,7275
2120	352,2263	369,8733	347,7605	367,1954	333,6166
2140	351,7421	369,2418	347,1460	366,6402	334,1910
2160	353,3722	368,4274	346,9381	367,0167	336,6115
2180	353,1543	368,7185	346,1611	366,3037	337,2758
2200	353,8256	368,0717	345,0204	367,1827	336,7636
2220	353,7347	367,2974	345,0880	367,3058	337,0417
2240	354,0513	366,7755	345,6035	366,1389	336,2207
2260	355,5508	368,7620	344,8963	366,1984	336,3724
2280	354,8321	367,8547	344,7459	365,2746	335,6777
2300	354,9917	367,6304	344,7336	365,2650	335,6934
2320	354,3544	366,8393	343,7533	365,3519	338,2946
2340	354,4131	366,5659	344,2327	365,3389	341,8098
2360	354,1738	366,3701	346,4944	365,7397	343,3604
2380	353,9598	365,4999	348,1022	365,7957	343,5812
2400	353,8337	364,9705	350,6114	367,0388	343,4728
2420	353,8540	364,3182	351,8549	369,0475	342,5573
2440	353,9743	363,8423	356,5904	370,1470	341,5467
2460	353,1556	362,7010	360,5971	371,2710	341,5232
2480	353,1061	362,3611	362,8006	372,2266	341,3584
2500	353,8821	362,4175	361,8496	372,2777	340,9882
2520	355,4175	361,7377	361,6877	372,8191	340,9303
2540	356,4396	362,5910	362,0817	374,0840	339,9339
2560	356,4013	362,0498	363,0959	373,6029	339,6937
2580	356,9100	361,2434	363,3538	372,8304	339,7438
2600	356,8732	361,1376	362,8048	372,0693	339,8756
2620	356,3970	361,2309	362,3346	371,4604	339,3022
2640	355,7399	361,0686	361,7251	370,5657	338,9237
2660	355,2543	360,4723	362,9415	370,4883	338,6816
2680	355,4316	360,1090	364,0314	369,7398	339,0827
2700	355,6521	359,9472	363,2924	369,1924	338,8041
2720	355,9858	361,2915	362,5887	368,3331	338,9162
2740	355,1752	361,9088	363,1529	367,8798	339,2296
2760	354,4778	361,6577	364,0753	367,1905	338,7268
2780	353,5735	362,2983	363,4906	366,8959	338,3707
2800	353,5853	362,0076	363,0233	366,4399	338,3684
2820	352,9734	361,1270	362,4306	366,5773	338,4477
2840	352,8901	360,5861	362,1864	365,9780	338,4897
2860	352,2304	360,3962	361,7558	365,8954	338,9527
2880	351,8989	362,0703	361,3382	365,8505	338,0496
2900	352,3643	364,0468	361,1203	365,6471	337,7960
2920	351,4651	363,3074	360,3564	366,2679	338,7136
2940	350,7496	362,6340	359,9113	366,6496	338,8199
2960	350,4842	362,3255	361,1594	366,0880	339,0425
2980	349,8435	362,3431	362,0652	365,6225	338,8208
3000	350,2976	362,7293	361,5087	365,7908	338,7519
3020	350,9062	362,5379	361,7471	364,9378	338,4772
3040	350,6342	361,1849	361,0420	364,5951	339,0238
3060	349,8666	360,7671	360,6024	364,3803	339,4027
3080	349,6243	360,5962	360,5717	363,7482	339,8348
3100	349,5264	360,3788	361,2322	365,2795	340,4535
3120	350,1701	359,7942	361,1328	366,3417	340,5163
3140	349,6005	360,1272	361,5051	368,1263	342,3498
3160	349,0452	359,5439	361,5811	371,8007	342,4615
3180	348,7328	359,5423	361,8734	372,1518	341,7858
3200	349,2292	359,0976	361,3233	372,8434	341,9386
3220	349,4563	359,1552	361,0470	373,5873	341,6383
3240	349,5104	359,9772	361,0335	374,2399	341,8596
3260	349,1980	361,8129	360,3372	375,3664	341,7710
3280	349,8710	362,3529	359,9301	375,5008	341,1576
3300	349,8439	362,0537	359,7268	375,3079	340,7257
3320	349,1226	363,0930	359,3913	376,9957	341,2555
3340	348,7462	363,4385	359,0540	378,8968	341,4525
3360	348,4899	363,0560	359,0689	379,1617	341,6590
3380	349,4373	362,4702	358,6100	379,0817	342,5019
3400	349,9411	361,8749	359,0133	378,5862	343,6553
3420	349,5604	361,0828	358,3573	377,6554	343,8121
3440	349,6096	360,8394	357,7239	378,3198	343,9412
3460	349,7460	360,2606	357,2091	378,2304	344,4487
3480	349,3212	360,3495	356,8311	377,5383	344,6024
3500	349,1485	360,0282	358,0251	378,0289	345,3451
3520	349,0132	359,6028	362,0366	377,8474	345,1184
3540	349,1181	359,4701	364,7737	376,8772	345,6178
3560	348,8015	358,8453	367,5954	376,2890	345,8482
3580	348,2617	359,0102	371,6268	376,5972	345,5432
3600	348,2369	358,8790	375,9642	376,7155	344,9421
3620	347,7037	358,0272	377,8002	377,3987	344,8750
3640	347,4386	358,0041	376,8358	378,0376	344,7686
3660	347,4030	358,0484	377,3656	377,5451	344,5320
3680	347,7931	358,4477	377,0213	377,4407	344,2922
3700	348,3722	358,2846	376,5435	377,1050	344,4744
3720	348,2113	358,1069	376,3748	377,0161	344,6524
3740	350,1001	357,5247	377,3381	377,0253	344,6702
3760	352,6202	357,5946	377,3562	376,5387	344,4309
3780	354,8115	357,5780	376,9650	376,4956	344,2796
3800	355,3726	357,7593	376,5712	376,9028	343,9397
3820	355,9424	357,3318	376,9278	377,8603	344,3245
3840	358,3932	356,8852	376,8003	377,5922	345,4724
3860	358,6422	357,1270	376,9658	379,1354	345,3504
3880	358,4678	358,5099	376,3132	380,4780	346,5717
3900	358,2567	359,4028	376,4378	380,3017	347,7235
3920	358,6062	359,6656	375,6450	379,8599	348,8870
3940	358,8682	359,6485	375,6293	379,3305	349,0543
3960	358,5784	359,5546	375,1666	378,6896	349,0495
3980	358,4359	359,7011	375,3497	378,4537	348,4630
4000	358,6870	360,0073	374,8555	378,4661	348,0389
4020	359,0373	360,2514	374,5736	378,1608	347,7903
4040	359,0479	359,9210	374,5199	378,0528	347,9407
4060	359,0460	360,2860	373,8699	377,5261	347,5788
4080	358,6910	361,2700	374,0355	377,6158	347,2255
4100	358,7856	362,0861	373,7986	377,6437	346,7455
4120	358,4980	362,1397	373,6373	377,3717	347,8459
4140	358,0670	362,5900	373,7725	376,6989	347,4233
4160	357,7544	362,4191	374,5642	376,9454	347,9989
4180	357,1579	362,0011	374,6149	377,3040	349,7205
4200	356,7807	362,2929	374,0469	377,2449	349,4382
4220	356,4829	362,2521	373,3268	377,4279	349,6666
4240	356,1104	361,7108	372,9726	376,8865	349,7577
4260	356,0709	361,4106	372,5889	376,4470	349,2988
4280	355,5779	361,3546	372,8148	376,1885	349,0737
4300	355,7355	361,2676	373,6557	376,2555	348,6265
4320	355,3221	361,1653	373,4166	376,0300	349,6110
4340	355,5964	361,0591	372,8589	375,8111	350,8917
4360	355,4640	360,7626	373,1205	376,1303	351,7345
4380	355,1839	361,6333	373,5270	376,7023	353,1094
4400	354,9844	361,1472	373,0789	376,5804	353,5673
4420	354,7723	361,1485	372,9373	375,9928	353,2372
4440	354,9823	362,2554	372,5824	375,4720	352,8037
4460	355,7614	362,7145	372,2378	375,6299	354,6447
4480	356,1414	362,4725	372,1449	375,5588	355,4607
4500	356,3173	362,1874	372,3762	374,8317	354,9155
4520	356,4667	361,8569	372,6894	374,2860	355,1084
4540	356,5751	361,6706	372,8296	374,0308	355,1114
4560	356,4546	361,0948	373,3142	374,2123	354,8598
4580	356,1809	360,4911	372,8068	374,1418	354,5708
4600	356,1483	360,0654	372,6974	374,0119	354,3985
4620	356,5963	359,9348	372,3561	375,9149	354,4084
4640	357,2017	359,6862	373,4802	377,8640	354,3198
4660	357,1680	359,8049	377,0779	378,2916	354,2624
4680	356,8711	360,0658	381,1800	378,3237	354,1403
4700	356,9522	359,7675	384,1166	377,8101	353,6615
4720	357,2531	359,6525	384,9219	377,3901	353,4934
4740	356,8950	359,5775	385,9791	377,2128	353,4783
4760	356,5855	359,4056	385,9392	377,0956	353,4630
4780	356,7454	359,1609	385,4123	376,3878	353,0822
4800	356,1474	358,8544	384,8649	376,0325	352,8092
4820	356,2584	359,1184	384,2951	375,3822	353,6734
4840	357,1708	358,6804	384,0779	375,0410	354,1259
4860	358,8458	358,7435	383,8869	374,9800	355,1529
4880	359,3033	358,8246	383,5866	374,3285	355,2001
4900	360,1244	358,8023	383,3752	374,1771	354,7810
4920	361,4664	358,8694	383,3810	373,9582	354,8930
4940	361,4598	358,5964	382,6662	373,5080	354,9886
4960	361,9723	358,1425	382,3138	373,0202	355,0699
4980	362,6042	358,1373	382,3681	372,7982	355,1267
5000	362,3565	357,6980	382,1142	372,6489	354,8043
5020	361,7144	357,4062	382,2038	372,3177	354,9050
5040	361,3477	357,0849	382,6177	372,0395	355,1537
5060	361,0226	357,3864	382,7119	371,8721	355,0515
5080	360,9753	359,1738	382,5702	371,2389	354,9303
5100	361,3742	360,0436	382,8519	370,8476	354,6822
5120	361,5153	359,6010	383,3243	370,6452	354,3960
5140	361,1549	359,3993	383,0011	370,4383	354,4440
5160	360,7145	359,4194	383,2195	369,9112	354,0331
5180	360,4845	359,2824	382,9737	369,7206	353,5806
5200	360,4689	359,4515	382,4209	369,8759	353,7273
5220	360,7800	359,0602	382,0181	369,7651	353,4669
5240	360,6673	358,8134	381,6299	369,4543	353,1517
5260	360,8951	358,7533	381,2252	369,1800	353,0433
5280	360,5128	358,6012	380,5408	368,8092	352,8495
5300	360,1564	358,3823	380,1169	368,5793	352,6522
5320	360,1688	358,1859	379,5311	368,6498	352,5492
5340	359,7508	358,0059	379,6467	368,1773	352,6222
5360	359,4267	358,0520	379,1293	368,0098	352,5080
5380	360,1095	358,0684	378,8097	368,1888	352,2447
5400	360,8721	358,0233	378,4712	367,9335	352,3695
5420	360,6152	357,7172	378,3485	368,2742	352,6408
5440	360,4091	357,4615	378,1757	368,2473	352,7669
5460	361,0855	357,3560	378,4556	367,9655	352,7051
5480	361,0716	357,4012	378,2708	367,3808	352,9698
5500	360,7455	357,3298	378,4743	366,9058	352,9312
5520	360,5342	357,9232	378,8756	366,5632	352,7235
5540	360,6580	357,9134	378,6610	366,3775	352,1715
5560	361,4403	358,0001	378,5531	366,5080	351,9645
5580	362,8141	357,7898	378,6310	367,0521	351,5991
5600	364,4285	357,6212	378,6312	368,1500	351,2783
5620	365,7883	357,2570	378,7210	368,5065	350,9524
5640	365,8325	357,0814	378,5790	368,7143	350,5530
5660	365,5487	356,8921	378,8133	369,0082	350,5824
5680	366,0346	356,7762	378,9023	369,0117	350,2656
5700	365,9828	356,4434	378,2322	368,8740	350,2481
5720	366,3000	356,3747	377,9726	369,3452	350,5054
5740	366,3934	356,0196	378,0189	368,9737	351,6288
5760	366,0505	355,8630	377,6196	368,5957	351,8154
5780	366,0490	355,4229	377,0361	369,2657	351,7353
5800	366,2977	355,3152	376,9695	370,0528	351,5748
5820	366,3748	355,2442	376,7988	369,5507	351,1224
5840	366,2541	355,3643	376,4885	369,5977	351,0986
5860	366,5021	355,5211	377,2951	369,4969	350,9951
5880	366,7560	355,2558	378,6533	369,3916	351,4572
5900	366,8824	355,1297	378,9526	369,1442	351,5522
5920	366,7786	354,7962	378,5707	369,7588	351,5432
5940	366,7516	354,9076	378,5498	370,1594	351,3132
5960	366,9720	354,8598	378,3908	369,8081	351,6701
5980	367,1058	354,6244	378,0851	370,1793	351,9593
6000	367,4990	354,3998	377,9086	370,2666	352,8068
6020	368,3118	354,0907	377,6517	370,2340	353,4764
6040	369,1654	353,9388	377,4946	369,9722	354,1889
6060	369,6643	353,7132	377,3864	369,5773	354,3666
6080	370,5811	353,2611	377,5993	369,4332	354,6119
6100	371,4605	353,2937	377,7528	369,2167	354,9161
6120	372,2751	353,4715	377,1701	369,0811	355,1091
6140	372,0167	354,3461	376,8148	369,1963	355,3541
6160	372,4424	354,8596	376,9834	368,9240	355,7721
6180	372,1179	354,7350	377,6468	369,0465	356,4060
6200	371,5704	354,5771	377,9047	368,7016	356,4351
6220	371,4383	354,3529	378,3341	368,5145	356,2255
6240	371,4263	354,2829	378,3707	368,5426	355,9416
6260	371,6860	354,2054	378,4575	368,3871	355,4143
6280	371,5978	353,8709	378,5852	368,3029	355,5290
6300	371,3019	353,5009	379,0972	368,1971	355,6183
6320	371,1870	353,4259	379,2449	368,2224	356,0312
6340	370,7513	353,7808	379,3698	368,0069	356,0496
6360	370,1766	354,4957	379,1477	367,9551	356,0129
6380	369,8827	354,6198	379,0890	367,7006	355,8511
6400	369,3838	354,5159	378,9922	367,4187	355,8561
6420	369,0328	354,1574	378,8736	367,1198	355,6655
6440	369,0869	353,8864	379,0606	367,0303	355,5811
6460	368,8764	353,6695	379,2218	366,8561	355,5371
6480	369,2229	353,6177	379,3689	366,6467	355,3729
6500	369,2910	353,7855	379,1934	367,0996	355,2680
6520	369,1910	353,7319	379,3108	367,0394	354,9497
6540	368,8760	353,9693	379,1632	366,5267	354,8150
6560	368,8477	353,7451	378,7814	366,5113	354,6220
6580	368,4496	354,2419	378,8541	366,5240	354,6632
6600	368,2858	354,6159	378,7002	366,4086	354,6581
6620	368,7021	354,1759	378,4846	366,1989	354,8823
6640	368,9118	354,0576	378,3294	365,8865	354,6402
6660	368,7483	353,7888	378,2729	365,8139	354,3432
6680	369,0172	353,6578	378,0511	365,5488	354,4763
6700	368,9038	353,6484	377,8600	366,1253	354,4446
6720	368,6297	353,2495	378,1403	366,1157	354,3401
6740	368,6607	353,0823	377,8055	365,8127	354,1980
6760	369,0281	352,8570	377,4527	365,7441	354,0179
6780	369,0379	352,6762	377,7258	365,5509	354,0564
6800	368,9550	352,7096	378,0864	365,2484	353,7459
6820	368,9912	353,0973	378,1654	365,2853	353,4325
6840	368,8306	353,2225	378,0982	365,2491	353,3922
6860	368,3100	352,8584	378,0519	365,0494	353,5242
6880	367,8740	353,1565	379,3406	365,0902	353,4811
6900	367,5433	352,8996	380,8316	364,6745	353,7499
6920	367,2472	352,8224	382,8083	364,6800	353,7580
6940	367,4360	352,5822	384,4977	364,7794	353,9689
6960	366,9340	352,4292	386,0337	364,5835	354,0947
6980	367,0778	352,3719	387,2018	364,3123	353,7744
7000	367,0752	352,4921	388,1798	364,1010	353,6145
7020	366,9873	352,6143	388,3057	363,9559	353,6986
7040	366,6850	352,3196	388,0309	364,3924	353,5962
7060	366,3804	352,0756	387,8075	365,5982	354,3170
7080	366,1965	352,2138	387,8363	366,0858	355,1993
7100	366,3020	352,1273	387,5081	366,1916	355,4380
7120	366,2166	352,2802	388,1880	366,0845	355,2276
7140	366,0875	352,0858	388,8133	365,8419	355,7139
7160	366,6676	352,2021	388,9023	365,7650	355,7197
7180	366,6023	352,4653	388,6712	365,6691	355,8904
7200	366,5389	352,3307	388,5879	365,4428	355,9918
7220	366,3338	352,1520	388,7562	365,8140	355,6946
7240	366,2195	352,2373	388,9124	365,8692	355,5266
7260	366,1114	352,7715	388,7144	365,5947	355,4416
7280	366,6429	353,8406	388,3996	365,5563	355,6193
7300	366,6129	354,8430	388,1942	365,5522	355,3304
7320	366,7268	354,5579	387,9381	365,2062	355,5354
7340	366,4693	354,8202	387,8814	365,1469	355,4660
7360	366,2157	354,7592	387,8725	364,9578	355,2018
7380	366,0855	354,5389	387,9361	365,0943	354,9215
7400	365,9554	354,4531	387,5617	364,8772	354,5328
7420	366,1217	354,3847	387,5139	364,7959	354,2887
7440	366,2352	354,4019	387,6420	364,8143	353,9883
7460	365,9745	354,5970	387,6804	364,9057	353,5907
7480	365,9659	354,6335	387,9922	364,7153	353,3101
7500	365,8073	354,6606	387,7857	364,4465	353,7129
7520	365,5188	354,8340	388,2444	364,6543	354,2876
7540	365,3710	354,8150	388,2796	364,7355	354,3188
7560	365,2100	354,4050	388,1020	364,6532	353,8970
7580	365,2918	354,4692	388,0249	364,6539	353,9312
7600	365,1211	354,4925	387,8915	364,7149	353,6771
7620	365,0344	354,3309	387,7093	364,3851	353,2915
7640	364,8379	354,1358	387,4238	364,1125	353,4772
7660	364,9692	353,9427	387,0811	363,9040	353,8279
7680	364,9694	353,7078	386,8762	363,6952	353,6577
7700	365,2370	353,6354	386,5693	363,6198	353,3910
7720	365,1502	353,7001	386,7609	364,2186	353,2581
7740	364,7635	355,1834	386,6848	364,2854	353,5500
7760	364,6195	355,8549	386,8622	364,1405	353,4326
7780	364,5835	355,6808	387,1533	364,1675	353,3534
7800	364,5955	356,1836	386,8870	363,9731	353,2461
7820	364,7825	356,6003	386,7387	364,1755	353,1854
7840	364,8721	356,4160	386,5909	364,0184	353,6925
7860	364,8270	356,1982	386,3515	364,0566	353,5581
7880	364,5842	356,2763	386,1663	363,9909	353,5040
7900	364,7655	355,9878	385,9559	363,9910	353,4969
7920	365,3372	356,0278	385,8766	363,5946	353,4833
7940	365,2757	355,7219	385,7529	363,5578	354,0836
7960	364,8720	355,4117	385,6393	363,2339	354,1022
7980	365,0230	355,1787	385,6910	363,0951	353,9411
8000	365,4788	354,9365	385,4975	363,0245	353,7857
8020	365,8037	354,7180	385,1513	363,0759	353,7306
8040	365,5561	354,7937	385,4871	362,8888	353,5980
8060	365,8389	354,4579	386,0385	362,6360	353,5386
8080	366,2482	354,2292	385,8809	362,3805	353,7355
8100	366,1432	354,2598	385,6225	362,1982	354,1693
8120	366,1605	353,9557	385,4096	362,3290	354,1231
8140	366,5714	354,1924	385,2222	362,6451	354,0977
8160	366,8230	354,0255	384,8357	362,8633	354,0650
8180	366,5746	353,7039	384,6297	362,8457	354,0135
8200	366,3745	354,0212	384,2268	362,8365	353,9160
8220	366,6548	354,6045	383,8774	362,6803	353,7215
8240	366,6989	355,4317	383,4666	362,3951	353,6060
8260	366,5259	355,7405	383,3821	362,3385	353,3344
8280	366,5721	355,8226	383,2816	362,2329	353,3126
8300	366,5800	355,9895	383,3728	362,2714	353,0831
8320	367,2067	356,2786	383,1074	362,2181	353,0023
8340	367,4287	355,9633	383,0675	362,2579	352,8967
8360	367,3946	355,7515	382,9929	362,3921	352,7211
8380	367,3652	355,7011	382,7174	362,1001	352,7633
8400	367,1958	355,6685	382,7193	362,0068	352,7001
8420	367,1216	355,8569	382,6406	361,8944	352,4920
8440	367,0368	356,3397	382,8176	362,0174	352,5065
8460	367,0851	356,1526	383,1716	362,2457	352,4577
8480	367,1079	356,0927	383,4279	362,2826	352,5468
8500	367,4581	355,7996	383,3301	362,4125	352,6815
8520	368,1308	355,7862	383,0851	363,0493	352,7134
8540	368,3236	355,6307	382,8947	363,6176	352,8064
8560	368,1652	355,4466	382,6045	364,2572	352,6949
8580	367,8817	355,5529	382,3847	364,0724	352,4184
8600	367,8300	355,6211	382,3664	363,7550	352,9057
8620	367,7719	355,6318	382,6698	363,8374	353,1418
8640	368,2305	355,5223	382,3665	364,2996	353,0061
8660	368,1394	355,3178	382,0848	363,9663	353,0832
8680	368,0488	355,2309	382,4073	363,8377	353,2506
8700	368,7118	355,2766	382,4073	363,9016	353,1998
8720	369,7302	355,1483	382,2856	363,8085	353,6681
8740	370,3654	354,9868	381,9344	363,5446	354,2064
8760	370,0877	354,9153	381,6701	363,3367	354,1255
8780	369,8574	355,2252	381,6176	363,1087	354,0311
8800	369,9437	355,1429	381,9849	362,9056	353,9512
8820	369,7072	355,1446	382,0125	362,6086	353,7816
8840	369,6509	355,1412	381,6955	362,4127	353,7159
8860	369,7440	354,9544	381,4128	362,2488	353,8137
8880	369,7911	354,8948	381,5673	361,9597	353,8432
8900	369,6995	354,8290	381,3412	362,0159	353,7317
8920	369,7168	354,7507	381,0412	361,8532	353,5101
8940	370,7816	354,7222	380,8854	361,8806	353,4573
8960	371,3957	354,9697	380,7915	361,9509	353,1909
8980	372,4714	355,2085	380,8906	361,8611	353,2625
9000	372,8986	355,1010	380,7909	361,5750	353,2049
9020	372,9283	354,8880	380,8323	361,4872	353,0314
9040	372,9245	354,6119	381,0103	361,6885	353,1590
9060	372,7140	354,3908	380,8632	361,4399	353,1472
9080	372,9552	354,1144	380,6973	361,4715	353,1275
9100	372,7831	354,2761	380,4946	361,3919	353,1980
9120	372,6023	354,3122	380,4267	361,7016	353,1577
9140	372,4425	354,4147	380,3190	361,5226	353,0373
9160	372,6212	354,3794	380,3645	361,7622	353,0839
9180	372,4522	354,1916	380,2177	361,6402	352,9955
9200	372,6133	353,9614	380,3527	361,6688	352,7971
9220	372,4177	353,9399	380,1592	361,6538	353,1300
9240	372,4207	353,8209	379,9789	361,5867	352,9363
9260	372,3466	353,5974	379,6655	361,5815	352,9389
9280	372,1309	353,6649	379,5711	361,3369	352,9168
9300	372,4981	353,5818	379,6073	361,0796	352,9181
9320	372,7620	353,4401	379,3170	360,9155	352,6420
9340	372,5854	353,0278	379,1419	361,0761	352,5214
9360	372,4136	353,0118	379,1380	361,2082	352,5687
9380	372,1500	353,2053	378,9346	361,1811	352,4971
9400	372,2178	353,3357	378,7655	360,9765	352,8353
9420	372,2608	353,4005	378,5802	361,1025	352,7436
9440	372,4456	353,9860	378,5271	360,8933	352,6372
9460	372,4063	354,2522	378,4150	360,9362	352,5181
9480	372,1467	354,0433	378,6641	360,7928	352,5066
9500	371,9241	354,0597	378,4289	360,8023	352,5606
9520	371,8922	354,0759	378,1889	360,8957	352,8828
9540	371,7811	353,9152	378,0563	360,7262	352,9133
9560	371,5535	353,6153	377,7890	360,6422	353,6293
9580	371,3451	353,4200	377,5386	360,6334	354,7115
9600	371,5137	353,3500	377,4603	360,4884	355,6751
9620	371,2438	353,3026	377,8396	360,5482	356,7234
9640	371,0051	353,1600	377,5999	361,1518	357,4870
9660	370,7931	353,0206	377,4385	361,4368	358,0655
9680	371,0830	352,9777	377,3098	361,6121	358,6084
9700	370,9663	352,8849	377,0220	361,7536	359,1502
9720	370,8193	352,6530	376,7825	361,5762	359,8851
9740	370,7010	352,6101	376,5236	361,7038	360,0560
9760	370,7921	352,5774	376,2097	361,5411	359,9551
9780	370,5592	352,5568	376,1635	361,2208	359,9445
9800	370,4716	352,3161	375,8446	361,0456	359,8031
9820	370,4473	352,1928	375,6681	360,7626	359,5817
9840	371,1196	352,2131	375,9690	360,6873	359,3860
9860	372,0059	352,1283	376,1516	360,6370	359,4606
9880	371,8432	352,0532	376,1619	360,5354	359,4385
9900	371,7705	351,9121	375,8875	360,4632	359,4012
9920	371,7857	351,6073	375,7238	360,3897	359,4886
9940	371,6960	351,6278	375,7436	360,2463	359,8261
9960	371,5400	351,4922	375,5751	360,0615	359,7383
