# hour	lambda	numCasse	numMag	E_T_s	P_OOS	P_aband	throughput_s	laborCost_eur_day	invCost_eur_day	waitCost_eur_day	totalCost_eur_day	util_Casse	util_CassaOnline	util_Dispatcher	util_BraccioUno	util_BraccioDue	util_Magazziniere	util_Pagamento	util_B1_high	util_B1_low
17-18	0.02475	4	1	640.836	0.23418	0.00000	0.02458	1464.00	4189.49	1903.28	7556.77	0.8471	0.0667	0.0746	0.8165	0.9126	1.0065	0.7192	0.7299	0.0865
17-18	0.02475	4	2	644.489	0.08772	0.00000	0.02459	1680.00	2364.84	1914.13	5958.97	0.8477	0.0668	0.0747	0.9672	0.9126	0.5480	0.7104	0.8788	0.0884
17-18	0.02475	5	1	524.529	0.23535	0.00000	0.02434	1776.00	4050.86	1557.85	7384.71	0.6974	0.0663	0.0747	0.8201	0.9006	0.9947	0.7033	0.7226	0.0975
17-18	0.02475	5	2	522.447	0.09640	0.00000	0.02436	1992.00	2274.12	1551.67	5817.79	0.6971	0.0663	0.0747	0.9788	0.8996	0.5474	0.7027	0.8835	0.0955
18-19	0.02520	2	1	386906.128	0.00411	0.00000	0.01584	840.00	312.75	1170004.13	1171156.88	1.0037	0.0724	0.0488	0.6970	0.6111	0.8267	0.4667	0.6394	0.0575
18-19	0.02520	2	2	386657.012	0.00299	0.00000	0.01583	1056.00	280.21	1169250.81	1170587.02	1.0061	0.0724	0.0490	0.7113	0.6126	0.4296	0.4448	0.6536	0.0577
18-19	0.02520	3	1	38599.240	0.14527	0.00000	0.02314	1152.00	3024.84	116724.10	120900.94	1.0193	0.0908	0.0736	0.8941	0.8555	1.0004	0.6826	0.7981	0.0960
18-19	0.02520	3	2	38578.458	0.05769	0.00000	0.02315	1368.00	1366.42	116661.26	119395.68	1.0203	0.0909	0.0737	0.9224	0.8558	0.5573	0.6873	0.8286	0.0938
18-19	0.02520	4	1	712.814	0.25573	0.00000	0.02491	1464.00	4358.90	2155.55	7978.45	0.8682	0.0653	0.0761	0.8127	0.9385	0.9932	0.7219	0.7212	0.0915
18-19	0.02520	4	2	718.965	0.13008	0.00000	0.02491	1680.00	2510.21	2174.15	6364.36	0.8669	0.0653	0.0760	0.9656	0.9378	0.5753	0.7217	0.8805	0.0851
18-19	0.02520	5	1	556.007	0.23215	0.00000	0.02468	1776.00	4350.55	1681.37	7807.91	0.7051	0.0684	0.0758	0.7968	0.9239	0.9970	0.7180	0.7056	0.0912
18-19	0.02520	5	2	564.284	0.08414	0.00000	0.02469	1992.00	2568.80	1706.39	6267.19	0.7058	0.0685	0.0759	0.9543	0.9243	0.5760	0.7222	0.8652	0.0891
19-20	0.02275	2	1	297457.822	0.00199	0.00000	0.01552	840.00	272.66	812059.85	813172.51	1.0018	0.0565	0.0478	0.6952	0.6047	0.8299	0.4559	0.6339	0.0613
19-20	0.02275	2	2	297356.417	0.00000	0.00000	0.01553	1056.00	278.31	811783.02	813117.33	1.0032	0.0566	0.0479	0.7067	0.6047	0.4206	0.4489	0.6473	0.0595
19-20	0.02275	3	1	1004.941	0.15541	0.00000	0.02266	1152.00	2731.22	2743.49	6626.71	0.9695	0.0634	0.0708	0.8267	0.8501	0.9953	0.6781	0.7432	0.0835
19-20	0.02275	3	2	1011.480	0.05354	0.00000	0.02263	1368.00	1202.15	2761.34	5331.48	0.9718	0.0633	0.0710	0.9319	0.8520	0.5523	0.6631	0.8475	0.0858
19-20	0.02275	4	1	488.616	0.12206	0.00000	0.02230	1464.00	2642.95	1333.92	5440.87	0.7998	0.0641	0.0688	0.8566	0.8280	1.0005	0.6463	0.7757	0.0809
19-20	0.02275	4	2	486.295	0.03811	0.00000	0.02225	1680.00	1267.57	1327.59	4275.16	0.7973	0.0639	0.0689	0.9285	0.8268	0.5487	0.6441	0.8472	0.0813
19-20	0.02275	5	1	424.661	0.12206	0.00000	0.02231	1776.00	2697.34	1159.32	5632.67	0.6550	0.0640	0.0686	0.8432	0.8313	0.9935	0.6460	0.7595	0.0837
19-20	0.02275	5	2	420.525	0.04142	0.00000	0.02231	1992.00	1383.41	1148.03	4523.44	0.6556	0.0641	0.0687	0.9045	0.8308	0.5371	0.6438	0.8196	0.0848
